FID,AlternateID,BAM,Species ,Field_Sex,Bioinformartic_Sex,PCR_Sex,Confirmed_Sex,Covariate,Collection_Date ,Field_Labeled_Age,Binary_Age_Fcatalog,Covariate_code,Main_Site,local_Site,Lek,UTM_Zone,GPS,Wing,Wing_round,Wing_round_outlierremoved,Tail,Tail_round,Tail_round_outlierremoved,Pinnae,Pinnae_round,,Comb_Height,Comb_Height_round,Comb_Length,Comb_length_round,Comb_area,Comb_area_outlierremoved,Total Head Length,Head_round,Head_round_outlierremoved,Culmen,Culmen_round,Culmen_round_outlierremoved,Tarsus_toe_length,Tarsus_round,Tarsus_round_outlierremoved,Mass,Mass_round,Mass_round_outlierremoved,Field_Notes,AJM_Notes
F609,40NW14,,T_pallidicinctus,F ,heteromorphic,,F,,4/10/2014,SY,A,,NW,GOVE,FLEMING 4,,"38.7606831317504,-100.686484981025",209,209,209,79,79,79,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,56.5,57,57,14.3,14,14,81,81,81,725,725,725,P = 90,
F613,18ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/11/2014,SY,A,,Clark,Clark,GAR 8,,"37.0931357792932,-99.9517539931793",207,207,207,78,78,78,31,31,31,4,4,12,12,48,48,60.65,61,61,12.23,12,12,87,87,87,720,720,720,dropped transmitter ~30m away,
F614,18RH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/11/2014,SY,A,,RH,RH,EAST 2,,"37.3556740933454,-99.0541215474332",199,199,199,85,85,85,27,27,27,6,6,23,23,138,138,56,56,56,12,12,12,89,89,89,725,725,725,none,
F615,19RH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/11/2014,ASY,A,,RH,RH,WINDMILL,,"37.2553605449439,-99.1137039588911",203,203,203,97,97,97,29,29,29,5,5,22,22,110,110,56,56,56,13,13,13,93,93,93,780,780,780,none,
F616,20RH14-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/11/2014,SY,A,,RH,RH,WINDMILL,,"37.2553605449439,-99.1137039588911",187,187,187,89,89,89,32,32,32,5,5,22,22,110,110,57,57,57,13,13,13,92,92,92,805,805,805,none,
F617,46NW14,,T_pallidicinctus,F ,heteromorphic,,F,,4/11/2014,ASY,A,,NW,GOVE,FLEMING 4,,"38.7606831317504,-100.686484981025",205,205,205,86,86,86,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,59.1,59,59,14.3,14,14,78,78,78,775,775,775,,
F620,22RH14-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/13/2014,ASY,A,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",215,215,215,84,84,84,39,39,39,5,5,23,23,115,115,NA,#VALUE!,#VALUE!,NA,#VALUE!,NA,92,92,92,775,775,775,none,
F621,23ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/13/2014,SY,A,,Clark,Clark,GAR 8,,"37.0931357792932,-99.9517539931793",NA,#VALUE!,NA,84,84,84,28,28,28,5,5,19,19,95,95,54.69,55,55,11.53,12,12,85,85,85,690,690,690,"flew away fine to NE. Cut on left wing, bleeding stopped before release.",
F622,24ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/13/2014,SY,A,,Clark,Clark,GAR 8,,"37.0931357792932,-99.9517539931793",210,210,210,83,83,83,30,30,30,5,5,20,20,100,100,52.48,52,52,12.25,12,12,91,91,91,760,760,760,flew away fine to SW,
F624,24RH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/15/2014,AHY,J,,RH,RH,EAST 2,,"37.3556740933454,-99.0541215474332",199,199,199,85,85,85,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,NA,#VALUE!,#VALUE!,NA,#VALUE!,NA,85,85,85,727,725,725,none,
F625,26ASH14,,T_pallidicinctus,F ,heteromorphic,,F,,4/15/2014,SY,A,,Clark,Clark,DEN1,,"37.3127978508525,-99.8800467703268",202,202,202,98,98,98,33,33,33,5,5,25,25,125,125,57.17,57,57,12.97,13,13,89,89,89,710,710,710,flew away fine,
F626,27ASH14-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/15/2014,SY,A,,Clark,Clark,DEN1,,"37.3127978508525,-99.8800467703268",203,203,203,88,88,88,31,31,31,4,4,24,24,96,96,52.23,52,52,12.63,13,13,89,89,89,685,685,685,flew away - wobbled then straightened out,
F627,28ASH14-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/17/2014,SY,A,,Clark,Clark,GAR 2,,"37.0424274196608,-99.842720241398",204,204,204,77,77,77,33,33,33,4,4,16,16,64,64,57.28,57,57,11.62,12,12,82,82,82,745,745,745,,
F633,6CO2014,,T_pallidicinctus,F ,heteromorphic,,F,,4/18/2014,ASY,A,,CO,Cheyenne,BROWN MILL,,"38.70983946,-103.06500318",195,195,195,85.84,86,86,N/A,#VALUE!,NA,N/A,#VALUE!,N/A,#VALUE!,#VALUE!,NA,63.81,64,64,14.82,15,15,57.09,57,57,715,715,715,,
F636,29ASH14-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/20/2014,SY,A,,Clark,Clark,DEN1,,"37.3127978508525,-99.8800467703268",194,194,194,85,85,85,29.5,30,30,4,4,24,24,96,96,56.41,56,56,11.96,12,12,86,86,86,675,675,675,flew away fine,
F638,8CO2014-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/27/2014,ASY,A,,CO,Cheyenne,BROWN MILL,,"38.70983946,-103.06500318",201,201,201,104.92,105,105,N/A,#VALUE!,NA,N/A,#VALUE!,N/A,#VALUE!,#VALUE!,NA,61.13,61,61,12.92,13,13,56.71,57,57,760,760,760,,
